BJD RV e_RV BERV rv18 e_rv18 rv19 e_rv19 rv20 e_rv20 rv21 e_rv21 rv22 e_rv22 rv23 e_rv23 rv24 e_rv24 rv25 e_rv25 rv26 e_rv26 rv27 e_rv27 rv28 e_rv28 rv29 e_rv29 filename
2458387.423937064 184.72651428188112 7.743572746136564 -18.146197723426546 181.26120362274506 39.714960775911806 223.9862091875405 28.22859986532347 190.96286585514764 22.939126441787153 202.5721445964597 22.83422855593695 199.7759847167601 27.235757929482652 190.57426974023147 23.709215597563713 172.87449385984024 33.996897720208594 176.62485626669388 26.27852902221247 186.90531871838496 32.12451215448775 144.8775394992867 31.428512192081932 130.27401838986782 35.28730146253795 216.02926692961532 57.81449032842413 TV00011.fits
2458387.4381734068 187.8883868034903 5.535815950869314 -18.164594165017697 194.5289461495922 46.25569440124656 200.79971486939752 32.2159376199583 193.25776516379102 25.201759801476623 209.08852640096015 31.42239602721694 192.55498989757092 34.602635676818835 201.7008559892176 25.74618441670568 184.5135167647735 25.77271727218446 193.29526040758992 28.498962461194175 163.72784047962898 33.919450136381094 151.00079140344812 36.705079288681844 161.1912605853534 37.69256821311895 209.00117353056035 58.19375182485237 TV00012.fits
2458387.452420629 222.36616271255522 6.81181438345581 -18.180234375424362 266.9315192492539 86.62845042715391 246.6171043034974 31.14740902991245 225.0345489171633 26.7479541768438 216.09013095713905 24.551590753927403 226.5552825174362 23.933872143922382 215.66376798448505 25.009873854580817 202.70715782285313 26.16460196657076 177.10940171121158 30.23153058865654 228.3455201838724 32.88301879165292 200.50789094499387 35.030951350060306 218.5750832969159 36.92516559053668 244.25654466184056 57.75034285622205 TV00013.fits
2458387.466680351 208.2783357293487 10.588496986868991 -18.19465584278437 149.90420165981783 44.61234457421343 222.8634892064402 26.111692748448903 200.19684058254478 34.99096870484006 206.01257945880928 24.870585456472128 219.3141257485906 30.97644703639018 220.78407658858853 27.843273325698586 237.73977887195596 37.40223027059981 200.57430722206948 27.73882156642266 201.04770909579617 33.11188616693678 167.27196137055498 37.14649922935257 179.62901149458125 38.91209641548109 294.0019474524355 55.19737422438531 TV00014.fits
2458388.351228962 -49.85442439170424 9.859511199290901 -18.253257664763574 -0.47693182221794117 inf -79.08983310419157 26.68788017595958 -25.625534350702807 26.723985516025618 -64.48095990450179 32.01670815558751 -29.123399188494044 27.227166605669115 -5.694768242386288 36.06664003843163 -28.79336687079863 29.20965721130759 -107.34435512316246 29.04054858289519 -43.45434671390959 34.635537330507034 -74.52209730750705 35.73620472127109 -11.85663177256995 40.863413620494065 -78.41337573052255 59.69350758909104 TV00015.fits
2458388.365534518 -53.80871897132826 8.902396149727599 -18.278370606754695 -23.387072197914755 51.93974815154724 -93.90302332053281 26.18889069163556 -36.149610314621626 26.323471297083515 -33.820505010803366 33.808299195401446 -52.740107388220224 35.64847892467586 -42.4491708245743 27.403183376440655 -77.70276925067857 30.04265683886118 -88.9942881634155 38.45360037212158 -68.39495183469647 33.71584649035295 -72.50131352738292 35.54817771769265 -68.85500024468006 48.43953875383954 13.193184421581368 75.50906008639325 TV00016.fits
2458388.379840073 -54.77452940737598 7.598361606078817 -18.302347638483315 -50.30736398766262 46.70994716954535 -64.39457552911672 23.187939198204297 -34.73858292507231 35.411318452902734 -38.07530331748208 25.324975971200434 -33.11536501497427 28.174647212727116 -23.2141421969404 24.482031111446553 -58.41370397843271 26.27297333567779 -66.07751260124414 26.55089041244956 -78.83222041495274 31.598163473560987 -112.28795996295945 32.952541583984015 -74.08728783005661 39.576512892939405 -23.75033512961759 59.15196541137001 TV00017.fits
2458388.463716925 -88.1631398819597 8.466695799062805 -18.41704814621474 -44.49858190248857 53.093223821902214 -101.45523115986359 26.263032629891946 -73.36532703233404 28.873248688825285 -95.96204553343418 27.894015125455137 -59.081931887917115 28.341168931300736 -78.45758188750256 27.523457068101873 -86.87960888554542 29.729474657468742 -119.33030769793399 29.227187259093203 -122.29364163936987 40.197674593582214 -135.6770517657579 36.786868034880996 -94.33617800880768 44.75387572868858 -46.62019118256143 62.9065765102232 TV00018.fits
2458388.477976647 -90.07025262407446 10.097029613213161 -18.429475399184692 -83.64819290738002 59.32334299538933 -144.22515947062888 30.425431999362594 -68.48953106184007 35.99197452533348 -59.8671237560816 52.46195785556193 -43.47700099647412 42.484984580000834 -92.4596876189998 38.91892622095989 -75.49064586043579 32.433608859303526 -99.40296138067599 34.46470052669367 -147.22668495922932 46.243436926758115 -127.16129016163036 45.74515748766162 -93.7434963664312 48.50375084503148 -45.65125694908656 62.130294274172904 TV00019.fits
2458388.4996201657 -101.18566354865015 10.39696107590129 -18.444586317229337 -137.88584582729297 58.60222783667864 -98.98378111488131 24.554203963004138 -50.20594276712781 26.81747046946653 -82.73352195591907 26.167282593865064 -76.50232069279828 25.908902031364345 -93.55731149684776 24.951730004259574 -94.7808617996432 28.99637954843864 -116.13504754690304 28.461835709488486 -171.29719355107176 48.275176705946535 -143.67390664667477 34.85707845117015 -95.11928805196271 44.551213313816206 -53.35294113267904 61.530564463497605 TV00020.fits
2458389.4131618324 87.69593290117054 6.177224247697695 -18.57460518298135 119.54782649294508 51.008682960273646 90.83550998151885 25.843879793748837 120.09090367597679 25.232056834633113 64.52349115041011 26.170788974015743 90.74294565001738 25.816176494162548 79.90459348720697 25.372242915105545 116.521523811842 27.782498262349385 68.29555396908903 26.617431102771942 64.36789576653605 31.41028341167212 63.11787362169752 33.26978980600896 87.08524745395097 35.68693307952114 87.31782975285581 52.381285237983775 TV00021.fits
2458389.427432666 93.6034289310859 8.269179891281178 -18.593534788189015 144.22655020249735 54.50248438541309 66.37489983108794 26.83408600086752 100.02232882447265 30.305950831851227 83.9915638277563 26.940251533133303 114.37076790177149 29.60504095642851 102.75861860018823 28.694807245500897 136.11993368101488 30.20228258371479 74.2560907000446 31.095382818213576 108.43051926289633 35.300089579188615 61.52679317321574 35.95268170546612 71.58615423125734 40.729773829838166 59.57692693682823 52.761902077946324 TV00022.fits
2458389.4416919253 97.23254296870222 9.559452073105652 -18.610540969666737 170.14677629471237 60.50727175885494 90.81781199659 31.041256598508475 102.489737577981 29.772622570940573 80.02376081121997 30.65185008234358 139.39589728707384 32.289516202138316 114.73560384673051 29.910881780126825 111.14705923263425 30.988931569317476 51.68486094392405 32.8133260139606 92.02301066746638 36.820517533494865 70.22250226748619 39.682155942386984 70.63387276885334 44.05109496044398 73.46962192975478 60.67660338332203 TV00023.fits
2458389.455962411 112.50416300084675 9.591637557349014 -18.62573540424153 162.81080814055937 64.69822402549738 107.33952434708935 28.494048754552427 132.06292493905218 28.64711702694409 103.87977090241516 30.787113613796244 150.54064183110978 30.162121610632504 112.06586863962494 31.09853641720644 97.46880885955007 31.58761108749504 67.33108782945821 30.969791264656305 78.12881489705451 37.25529603478875 111.89349752636542 36.81607776543412 159.26818648836476 41.54254184480781 67.26002160951727 53.65845963501144 TV00024.fits
